-4.4	3.1	4.6	12.9	17.8	23.7	26.3	23.9	19.6	11.7	7.8	1.4
-4.3	2.3	5.4	10.3	17.3	19.9	25.8	22.5	19.3	13.8	9.3	6
1.7	2.2	7.1	11.2	16	23.1	26.4	25.3	21.4	14.3	8.8	1.2
-2.6	4.8	2.3	11.3	16.6	23.8	24.6	25.1	18.6	16.8	7.3	4.6
-4	0.5	6.8	13.6	19.3	20.6	24.5	24.1	21.1	14.6	9.6	0.6
0.3	-0.5	6.6	11.8	19.1	22.3	24.8	23.3	20	14.3	7	3.3
-0.3	0.5	7.1	12.1	17.6	23.5	26.3	24	20.3	12	8.5	3.5
-2	1.3	6.6	10.6	17.3	22.8	26.8	26.5	20	11.3	9.3	1.8
2.6	1.1	5.8	11.3	17.3	23.5	25.1	24.6	21	15.1	6.8	-3.8
4.6	4.3	7.1	11.8	16.1	23	25.5	24.8	20.1	16.8	10	5.6
0.8	3.6	6.8	12.6	20.5	23.3	25.8	25.3	20	14.6	8.6	3.6
1.3	2.1	4	10.1	16.5	22.6	24.8	23.8	20.8	13.1	8.6	3.8
3.1	-0.6	4.5	12.3	19.5	24.3	28.1	26.1	20.6	13.5	8.6	2.8
-3.8	-1	5.3	14	17.5	25.3	27.6	24.3	20.8	14.8	11	5.1
3	-0.8	7.3	11.4	17	22.7	26.3	25.8	20.1	16	5.8	-0.2
-1.4	0.9	3.6	11.7	16.3	22.6	23.1	23.3	20	12.9	5.4	4.4
-0.6	4	5.3	10.4	15.1	21.6	24.9	23.2	19.4	13.5	6.4	3
4.4	4.8	7.2	12	18.2	21.1	25.3	24.9	21.1	14	8.4	5.3
0.7	3.2	5.9	11.6	17.3	23.3	27.1	24.5	20.5	13	10	4
-0.4	3	8.7	10.7	17.9	22.4	23.1	23	19	13.8	7.4	-0.8
0	2.1	4.3	11.8	17.7	23.2	23.4	26.1	19.6	14.2	10.9	6.4
4.1	4.5	6.6	13.2	16	22.4	26.6	25.5	21.3	13.1	7.4	1.7
-2.5	-1.5	6.1	9.9	14.9	20.7	25.1	25.3	20.3	12.7	9.7	2.5
-4.4	1.5	6.5	12.2	19	22.3	23.9	23.6	20.8	13	8.5	2.4
-1.2	2	3.6	12.4	15	23.6	25.6	26.9	23	14.3	9.2	1
4.3	1.7	6.2	13.1	17.6	22.5	26.3	25.1	19.2	13.1	10.7	6.1
2.7	-2.3	5.5	10	18.3	22.6	24.4	24	21.1	17.5	7.1	2.5
2	2	5.9	12.5	15.8	24	25.9	23.3	20.8	12.8	7.4	2.9
-2.3	2.5	5.4	12.4	17.3	20.4	23.5	25.1	19.3	13	10.4	2
0.2	0.7	9	14.3	19	24.5	27.9	25.4	21.9	14.5	8.4	0.5
-1.5	2.3	6.4	13	18.6	23.5	28.1	24.9	21.8	14.4	10.5	5.8
2.7	4.7	10.6	12.8	19.1	22.4	27.1	25.3	20.8	14.8	6.2	5
